duration,protocol_type,service,src_bytes,dst_bytes,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate,attack_type
3,tcp,smtp,128,207,1,12,6,0.5209328422263061,0.3963337512588508,3
3,tcp,ssh,119,283,4,16,10,0.5874027337392591,0.3901989931095481,5
2,tcp,ssh,87,286,1,17,11,0.5621637600578311,0.5176268754947232,5
4,tcp,http,213,3324,0,4,2,1.0,0.0,0
0,tcp,http,0,0,0,160,323,0.12837124160705887,0.8967147514675257,1
6,tcp,dns,244,4489,0,3,5,1.0,0.0,0
2,tcp,ftp,81,386,1,14,7,0.40783434330018825,0.3031784052489922,3
0,tcp,ssh,193,752,10,20,29,0.7620531745957733,0.33063903875134226,2
5,tcp,dns,496,2608,0,2,2,1.0,0.0,0
0,tcp,http,0,0,9,57,36,0.3088510130744006,0.6700498093624421,4
0,tcp,http,0,0,0,286,319,0.05222713808366414,0.8769855721499479,1
6,tcp,ftp,139,402,1,10,11,0.6333722798959616,0.4969320098191926,3
3,tcp,smtp,88,230,3,13,9,0.5395628708517396,0.4334774474185361,3
0,tcp,http,0,0,0,257,160,0.058807312176708273,0.8852816849360308,1
2,tcp,ssh,112,377,4,17,12,0.48078847552439447,0.42128588416357154,5
0,tcp,ssh,191,904,12,33,17,0.7266194747249326,0.27879255026216215,2
0,tcp,ssh,121,703,6,27,17,0.5958495200908045,0.20917871786260214,2
8,udp,dns,214,3207,0,1,3,1.0,0.0,0
0,tcp,ssh,140,784,12,24,23,0.5644671435544065,0.29231785066854826,2
5,tcp,ssh,120,357,1,12,9,0.5897672777193128,0.4836502274600052,5
0,tcp,http,0,0,0,195,194,0.09309850022286402,0.8521126717818391,1
4,tcp,ssh,112,328,3,12,9,0.5021459452048829,0.4040467667142946,5
0,tcp,http,0,0,12,58,50,0.34148504126415324,0.6649561604866381,4
0,tcp,http,0,0,0,335,349,0.027842213334762958,0.8881885132246147,1
0,tcp,ssh,146,755,11,24,22,0.6258834052782054,0.25313947985107427,2
3,udp,http,575,3145,0,5,2,1.0,0.0,0
0,tcp,http,0,0,10,58,33,0.5653359381694091,0.5584492709850509,4
0,tcp,ssh,132,969,7,40,15,0.5027054934909817,0.2546471685726583,2
5,udp,smtp,509,2302,0,5,4,1.0,0.0,0
0,tcp,http,0,0,8,40,28,0.459745880096717,0.6037565187479759,4
0,tcp,ssh,143,754,9,26,22,0.6607030135299783,0.2213593489888928,2
4,udp,dns,362,2697,0,1,3,1.0,0.0,0
3,tcp,smtp,134,247,2,8,6,0.46890214330816227,0.37407633762172143,3
3,tcp,ssh,86,376,1,12,10,0.6214458776780047,0.3525530573160257,5
0,tcp,ssh,137,857,9,24,29,0.5864719917905854,0.3023501020980227,2
0,tcp,ssh,161,777,6,22,18,0.6574353439542641,0.21406932809431317,2
6,tcp,smtp,112,212,2,11,10,0.4778178823676643,0.40658423576314573,3
0,tcp,ssh,161,890,11,23,29,0.5981942546129277,0.31060697804504556,2
0,tcp,ssh,134,794,8,24,29,0.6449043968352912,0.3508045656915536,2
0,tcp,ssh,191,784,10,38,24,0.7202160053172912,0.22722941930235352,2
0,tcp,http,0,0,0,164,305,0.13750798612565618,0.8670731745756737,1
4,tcp,ssh,57,377,2,12,10,0.4540238125863539,0.40586482841736743,5
0,tcp,http,0,0,9,52,44,0.3146586281465844,0.5079791372391653,4
5,tcp,ftp,146,351,2,8,6,0.45222692574968915,0.4820095358224951,3
6,tcp,smtp,125,438,3,14,11,0.6581281878976539,0.46655129098598547,3
0,tcp,http,0,0,0,173,143,0.1177344739633022,0.9005523207886816,1
0,tcp,http,0,0,0,266,243,0.12006090868576752,0.9385693556024874,1
0,tcp,ssh,142,768,6,40,28,0.7242556407378917,0.45366227935896536,2
5,tcp,ssh,71,215,2,16,14,0.46138956540249915,0.43491680474889516,5
0,tcp,http,0,0,9,43,33,0.5620073827345632,0.5587709134590271,4
0,tcp,ssh,169,950,9,38,15,0.6189217104006153,0.21934259369611753,2
0,tcp,ssh,170,914,8,35,21,0.6051682362860697,0.4300010725211033,2
4,tcp,ssh,114,323,1,20,14,0.5544751338968908,0.3627393081357637,5
0,tcp,http,0,0,0,336,333,0.10211229927208636,0.9675550389324549,1
0,tcp,http,0,0,0,225,323,0.10765894160787265,0.8695479209777953,1
0,tcp,ssh,179,883,12,35,17,0.5685541264629621,0.4791098595288969,2
5,tcp,smtp,96,392,3,8,11,0.636974111093504,0.32120974768804805,3
0,tcp,ssh,120,953,8,36,18,0.5451220467437048,0.26621267926793035,2
2,tcp,ssh,61,224,4,13,11,0.5349231130948799,0.4968738840232357,5
6,udp,dns,424,2845,0,4,3,1.0,0.0,0
0,tcp,ssh,134,827,11,28,23,0.5890974449977198,0.24613725495357916,2
3,tcp,dns,333,2974,0,4,1,1.0,0.0,0
0,tcp,ssh,173,900,8,36,29,0.5124438159485345,0.37038832252674825,2
0,tcp,ssh,175,998,11,28,20,0.5207230635096204,0.44566237152606547,2
0,tcp,ssh,166,728,10,35,15,0.7554723150191023,0.24038736576455538,2
5,tcp,ssh,68,264,3,11,11,0.5632178167798682,0.5366786914026016,5
3,tcp,ssh,102,379,2,13,9,0.5862634965953686,0.36019781579907795,5
6,tcp,smtp,98,378,1,9,8,0.42203888381428695,0.5433065674809465,3
0,tcp,ssh,169,721,9,38,17,0.5676255675453322,0.27317640023550804,2
4,tcp,http,226,2729,0,5,4,1.0,0.0,0
5,tcp,smtp,142,359,3,14,6,0.6047748839003085,0.4724930268601836,3
0,tcp,http,0,0,9,41,35,0.5587532466867995,0.4917134210256163,4
0,tcp,ssh,166,739,11,38,19,0.5826918205602338,0.22550442660777442,2
0,tcp,http,0,0,12,49,26,0.5866314010680256,0.6963459938926512,4
3,tcp,ssh,114,394,2,13,14,0.5868950997328991,0.5218130517714725,5
4,tcp,ssh,112,263,1,19,15,0.47717711128330337,0.4476228966102378,5
0,tcp,ssh,122,767,8,20,21,0.6508601175210508,0.2519895883510399,2
8,tcp,dns,311,3431,0,3,5,1.0,0.0,0
5,tcp,ftp,158,272,2,8,6,0.4943066108493014,0.3156640599023465,3
5,tcp,ssh,72,361,2,10,11,0.460553166438801,0.37990542095591545,5
0,tcp,http,0,0,12,44,35,0.5303535783757011,0.6964335354169009,4
0,tcp,http,0,0,15,34,41,0.3542220135781822,0.40669084158348934,4
0,tcp,ssh,164,742,5,39,27,0.5206927168084275,0.20818176372446257,2
0,tcp,http,0,0,0,368,158,0.05550047308997709,0.9534970445544696,1
5,tcp,dns,256,2466,0,5,5,1.0,0.0,0
0,tcp,http,0,0,0,321,377,0.11678596248522856,0.9220406492459703,1
4,tcp,ssh,60,234,3,10,15,0.48170965621955497,0.4203528423738247,5
4,tcp,dns,576,3125,0,2,2,1.0,0.0,0
7,tcp,http,451,4429,0,2,5,1.0,0.0,0
3,udp,smtp,436,4239,0,2,3,1.0,0.0,0
4,tcp,smtp,124,207,3,14,6,0.4354063160726075,0.5532613463701217,3
3,tcp,smtp,141,344,1,14,12,0.6509341890983438,0.5708071415792363,3
0,tcp,http,0,0,14,31,47,0.4492727507410479,0.6008166125580036,4
4,udp,dns,408,4887,0,1,1,1.0,0.0,0
7,tcp,smtp,590,4988,0,5,3,1.0,0.0,0
0,tcp,ssh,194,974,5,40,23,0.7310260911421655,0.4618259981074713,2
8,udp,http,598,4531,0,1,3,1.0,0.0,0
0,tcp,ssh,138,823,8,39,23,0.7056109188863423,0.21961024741238286,2
0,tcp,http,0,0,0,289,186,0.13831317390895148,0.9241027071246578,1
0,tcp,http,0,0,11,36,46,0.42040281866720436,0.509232163076931,4
0,tcp,http,0,0,0,364,195,0.09189596476949334,0.9010433203337109,1
0,tcp,ssh,182,978,11,33,17,0.655962644203474,0.31823933491278766,2
3,udp,smtp,487,4511,0,3,4,1.0,0.0,0
0,tcp,ssh,195,911,7,34,20,0.523295964378992,0.2912211276016779,2
3,tcp,smtp,121,206,1,15,9,0.42555437311508215,0.4686301675938891,3
0,tcp,http,0,0,15,38,44,0.302701948364815,0.5538203923458187,4
9,tcp,http,360,4533,0,1,1,1.0,0.0,0
0,tcp,http,0,0,0,188,229,0.08756017926937229,0.9689879725753285,1
5,tcp,smtp,143,405,1,8,11,0.47520438074139615,0.30837931626955617,3
5,tcp,ssh,80,268,1,15,14,0.5433145684087429,0.5186949708480865,5
0,tcp,http,0,0,0,257,293,0.06208277576098299,0.8950266799036753,1
0,tcp,ssh,198,771,10,28,15,0.6389844302130422,0.4723993386250511,2
0,tcp,http,0,0,0,164,208,0.03689017956773061,0.8545733576625042,1
0,tcp,ssh,192,743,5,26,30,0.7167416287291579,0.3597647208268411,2
2,tcp,ssh,51,271,2,13,10,0.6420437593160478,0.47461123232862495,5
5,tcp,smtp,106,433,3,10,6,0.6539070168867351,0.47662969212895834,3
0,tcp,http,0,0,0,198,152,0.02478605253008975,0.8595230183890474,1
0,tcp,http,0,0,14,54,50,0.46309780410192547,0.6224386948996765,4
6,tcp,smtp,123,385,1,14,9,0.4868904040389755,0.4169057952109223,3
6,tcp,smtp,128,392,2,8,12,0.435797782530156,0.3995459224970431,3
0,tcp,http,0,0,9,35,34,0.41785552738055914,0.6830975112651998,4
9,tcp,dns,380,4969,0,3,4,1.0,0.0,0
0,tcp,http,0,0,14,51,39,0.3835349617242792,0.4599609962650869,4
3,tcp,ssh,101,398,4,17,9,0.6387982805508332,0.3698948963930427,5
4,tcp,ssh,50,281,2,19,13,0.6022728264935423,0.41012136430590523,5
10,udp,http,293,4063,0,1,4,1.0,0.0,0
0,tcp,http,0,0,11,52,47,0.5972034093745524,0.5397414178469726,4
3,tcp,smtp,99,251,2,11,6,0.43945284550195635,0.5326127801221765,3
0,tcp,http,0,0,15,52,40,0.31671802700315665,0.4538882952095553,4
0,tcp,http,0,0,0,219,329,0.09608711706794512,0.906118308172566,1
0,tcp,http,0,0,14,44,30,0.58297809772988,0.5354700009862747,4
0,tcp,http,0,0,9,50,39,0.48348639484987377,0.5431740833055491,4
0,tcp,ssh,168,800,9,21,15,0.6903358079558957,0.20655038711617763,2
7,tcp,dns,455,3134,0,1,1,1.0,0.0,0
0,tcp,http,0,0,9,43,42,0.5149618194742663,0.5868289151096244,4
0,tcp,ssh,151,967,8,31,17,0.56881239744377,0.39100075785096233,2
4,tcp,ftp,117,463,1,15,11,0.49584776529545427,0.4761688258599172,3
3,tcp,dns,476,4514,0,3,4,1.0,0.0,0
0,tcp,http,0,0,12,55,35,0.5804478695048305,0.5555567423639124,4
0,tcp,http,0,0,11,32,36,0.4861800796936644,0.6452609822162955,4
0,tcp,http,0,0,0,281,179,0.11378407070493586,0.9446902637044843,1
7,tcp,smtp,419,4528,0,5,4,1.0,0.0,0
6,tcp,ftp,80,292,1,11,10,0.6304069880766097,0.4537745239077017,3
0,tcp,http,0,0,0,206,173,0.10812538845400625,0.8877796154526963,1
0,tcp,http,0,0,12,54,46,0.5684854507712436,0.608793317363386,4
4,tcp,ssh,51,377,3,17,10,0.6435882212805717,0.509319466288624,5
0,tcp,http,0,0,0,219,228,0.07802939445460837,0.8757003370916593,1
10,tcp,http,555,4112,0,5,2,1.0,0.0,0
0,tcp,ssh,169,708,11,33,16,0.5014288912785804,0.3536710621612978,2
3,tcp,smtp,155,291,2,8,9,0.5622365944235909,0.37220261098917623,3
0,tcp,http,0,0,0,236,313,0.11202828778314929,0.8713862381777187,1
0,tcp,http,0,0,10,47,45,0.5146626086011561,0.6424843846562216,4
0,tcp,ssh,172,960,6,21,30,0.5180699047770039,0.22866485031519201,2
3,tcp,ssh,111,308,4,11,11,0.6386867321266625,0.373183404464221,5
5,tcp,ssh,86,373,3,11,8,0.6236756133313072,0.3928244790656725,5
3,tcp,ssh,93,266,3,10,11,0.5198429124359653,0.45690852079807537,5
7,udp,http,351,2899,0,5,3,1.0,0.0,0
6,udp,http,404,3959,0,1,3,1.0,0.0,0
0,tcp,http,0,0,9,41,27,0.45181158357663276,0.47256000777300605,4
0,tcp,ssh,145,706,6,28,19,0.5890270260127795,0.21244379764669036,2
7,tcp,smtp,379,3452,0,3,4,1.0,0.0,0
6,tcp,smtp,145,317,1,15,10,0.5008640263299999,0.34719557988185007,3
4,tcp,ssh,80,210,3,13,12,0.6293585351539113,0.47033054960321885,5
2,tcp,ssh,109,280,4,11,10,0.6415576621668359,0.35620394126173527,5
0,tcp,ssh,177,949,6,34,18,0.6895000469934265,0.34953359768045716,2
4,tcp,ssh,112,307,2,16,13,0.5949013579677587,0.42756005165447597,5
5,tcp,ssh,82,320,4,19,12,0.5081968809268783,0.502828133001998,5
3,tcp,ssh,113,342,4,11,10,0.468746924054127,0.5478763889923708,5
4,tcp,ftp,141,338,3,10,8,0.6523630025420943,0.3646195376775581,3
4,tcp,ssh,74,330,2,12,13,0.5151098524513942,0.42797038673269094,5
9,tcp,smtp,491,2154,0,3,2,1.0,0.0,0
0,tcp,ssh,172,908,5,20,25,0.6491617734568238,0.25755506755021457,2
3,tcp,smtp,134,345,2,8,7,0.4287975964994102,0.35528732160128934,3
2,tcp,ssh,50,357,4,18,8,0.5830302462168553,0.41709824083204994,5
0,tcp,http,0,0,8,52,27,0.43301576189462343,0.41043490558740037,4
3,tcp,http,481,1855,0,4,2,1.0,0.0,0
5,tcp,ftp,148,205,1,13,11,0.4708056233242898,0.5415558486548089,3
3,tcp,ssh,117,275,4,10,12,0.5305200230996475,0.4219254988875491,5
3,tcp,ssh,46,374,2,16,10,0.4939286483148689,0.457782690270792,5
0,tcp,http,0,0,0,164,379,0.05825490668590691,0.9293842528167406,1
0,tcp,ssh,188,725,11,21,15,0.546684039989615,0.35800887043236307,2
5,tcp,ssh,66,258,3,11,9,0.5724326673649813,0.45196253685950605,5
0,tcp,ssh,193,787,8,34,25,0.6807620727946061,0.2898032782480641,2
0,tcp,http,0,0,15,47,26,0.5783440494389622,0.6378010690175464,4
0,tcp,ssh,179,973,8,24,27,0.5546530232895048,0.42139951590926594,2
0,tcp,http,0,0,9,50,47,0.32850856031228914,0.5501021491002818,4
0,tcp,http,0,0,0,238,278,0.1364493035982734,0.958821512415603,1
2,tcp,ftp,116,460,1,11,11,0.6484886112555537,0.5780816307256302,3
5,tcp,smtp,112,393,2,11,8,0.6453260672320983,0.5563755494290892,3
0,tcp,http,0,0,0,353,163,0.0958268486051699,0.9576226114719352,1
3,tcp,ssh,56,219,1,10,11,0.49742208913667924,0.4511354718724552,5
5,tcp,ssh,82,220,3,10,10,0.605667741881819,0.3870790416970389,5
4,tcp,smtp,104,320,3,9,11,0.4807388075667181,0.5761711634639163,3
0,tcp,ssh,152,778,11,34,22,0.7755758846910639,0.331704135458514,2
0,tcp,http,0,0,14,37,39,0.5547432974316054,0.5874687163558643,4
0,tcp,ssh,169,755,12,25,22,0.6894236353615609,0.22771506882473797,2
6,tcp,smtp,160,487,1,11,7,0.6977034415240061,0.31901334107763873,3
3,tcp,ssh,44,372,1,20,15,0.6265390972920919,0.4821445402616857,5
0,tcp,http,0,0,13,50,27,0.38967656663732564,0.6291782070856705,4
3,tcp,ssh,92,214,2,13,10,0.4815090534070089,0.5249480841619756,5
5,tcp,ftp,85,414,1,13,12,0.6547516062689608,0.337315745379358,3
3,tcp,ssh,106,289,3,16,12,0.6218100361693797,0.40799578872031195,5
6,tcp,smtp,110,286,1,9,10,0.40730231098079467,0.49407339321308497,3
0,tcp,http,0,0,0,304,287,0.11259681715933965,0.8555061352430101,1
0,tcp,http,0,0,9,43,28,0.4276692272724455,0.5742427374546368,4
0,tcp,http,0,0,13,50,38,0.419650870001147,0.4888667273128802,4
0,tcp,http,0,0,11,41,46,0.4494693044645245,0.4880289204995936,4
6,tcp,http,427,4537,0,3,2,1.0,0.0,0
0,tcp,http,0,0,14,44,38,0.4808098831385219,0.5000300974262027,4
3,tcp,ssh,119,228,4,12,10,0.47444629663710314,0.37078521190029723,5
4,udp,dns,493,4433,0,2,1,1.0,0.0,0
0,tcp,ssh,199,973,8,22,28,0.5857994169808782,0.29380300805788784,2
0,tcp,http,0,0,0,323,160,0.034530783498700764,0.9146721546831006,1
4,tcp,smtp,150,304,2,10,8,0.4588002199226589,0.48898160201237406,3
0,tcp,http,0,0,0,215,266,0.14742478609871723,0.8582591881314058,1
9,tcp,smtp,508,4233,0,1,1,1.0,0.0,0
5,tcp,ftp,116,434,3,13,9,0.6467511061903177,0.48818488836825047,3
2,tcp,ssh,49,387,3,12,13,0.46501382903114613,0.5152530750522386,5
4,tcp,ssh,114,291,4,17,13,0.5641826216411017,0.37660098333124953,5
6,tcp,smtp,99,268,3,13,10,0.45781299282126714,0.5970389061106426,3
0,tcp,http,0,0,13,50,49,0.5531774552215767,0.43043692237914927,4
2,tcp,ssh,91,263,1,17,15,0.5613171744279232,0.4231238189808945,5
0,tcp,http,0,0,0,367,254,0.11764206297152421,0.8502888727276574,1
0,tcp,ssh,127,776,7,24,17,0.6857502523247926,0.4424870275515679,2
0,tcp,http,0,0,9,47,37,0.40169211917014286,0.6146059359825862,4
0,tcp,http,0,0,0,155,182,0.05107521320822729,0.9285453696279409,1
5,tcp,ftp,93,496,3,15,10,0.4197317776400359,0.529912130144349,3
2,tcp,ssh,92,231,2,10,12,0.5510541412703422,0.5078310912038364,5
0,tcp,http,0,0,13,35,33,0.43347653589885854,0.6574974768304545,4
2,tcp,ftp,130,257,1,8,12,0.6391023291513278,0.32652876970701344,3
0,tcp,ssh,192,848,7,22,27,0.6149347501463651,0.4685696521459934,2
7,udp,smtp,415,2419,0,4,2,1.0,0.0,0
0,tcp,http,0,0,0,386,237,0.13465865123193724,0.8809270578500741,1
0,tcp,http,0,0,11,49,47,0.43845713003103515,0.4573908893524929,4
2,tcp,smtp,81,345,3,12,12,0.6924709127928372,0.4588444060994376,3
3,tcp,http,535,4876,0,5,5,1.0,0.0,0
0,tcp,ssh,134,804,5,30,19,0.5439416240338197,0.20261915371323302,2
9,udp,smtp,381,2047,0,5,5,1.0,0.0,0
3,tcp,ssh,74,329,4,15,13,0.5149155697947871,0.43224287139310613,5
7,tcp,http,491,3066,0,5,2,1.0,0.0,0
2,tcp,ssh,116,266,4,15,9,0.575255260206952,0.4228285546246707,5
0,tcp,ssh,158,756,12,33,24,0.7274856645371406,0.34835877726259257,2
3,tcp,ssh,100,324,1,14,8,0.47480394807230897,0.5126429717563218,5
6,tcp,http,554,1649,0,3,5,1.0,0.0,0
0,tcp,http,0,0,10,39,44,0.3849026215583773,0.6633097263654297,4
8,tcp,dns,449,4669,0,4,1,1.0,0.0,0
3,tcp,ssh,118,297,1,16,10,0.5134145776176293,0.5083315018627529,5
3,udp,http,284,2544,0,4,3,1.0,0.0,0
8,udp,dns,592,3185,0,5,2,1.0,0.0,0
2,tcp,ssh,100,301,3,12,10,0.49837248137277484,0.5353709579084128,5
4,tcp,ftp,94,372,1,8,8,0.4078334176228032,0.300572392847274,3
0,tcp,http,0,0,0,184,373,0.07851412551940726,0.9323539915086684,1
4,tcp,smtp,160,337,2,14,8,0.5637285069500281,0.3822412077124694,3
0,tcp,http,0,0,0,188,165,0.04817611998963214,0.8521168305408465,1
3,tcp,ftp,103,374,1,8,7,0.4531758348909771,0.324690265958568,3
5,tcp,ssh,67,251,2,11,14,0.5828175480742909,0.5350673931544754,5
0,tcp,ssh,181,824,5,29,16,0.7314430089060047,0.4347222032714542,2
9,udp,dns,550,1613,0,3,4,1.0,0.0,0
0,tcp,ssh,183,908,11,36,16,0.7975704929647602,0.32689972005545576,2
5,tcp,ssh,47,365,2,17,8,0.5885650708089285,0.39483685499162385,5
2,tcp,ftp,115,480,3,11,10,0.674435058077806,0.4696824376208074,3
0,tcp,http,0,0,13,36,31,0.38610248041026024,0.6023409324591591,4
0,tcp,ssh,130,815,10,40,16,0.5878438389171817,0.4404955087993244,2
0,tcp,ssh,179,741,11,21,23,0.5487688811686683,0.3832490744589707,2
0,tcp,http,0,0,11,33,28,0.5343774826241536,0.4779044547547088,4
0,tcp,ssh,169,833,6,31,22,0.7906250839857397,0.20622969656830212,2
0,tcp,ssh,127,840,8,30,17,0.5871629982155785,0.33724909925716107,2
3,udp,dns,231,3881,0,4,4,1.0,0.0,0
2,tcp,ssh,74,231,4,11,12,0.49915857714572814,0.47551987748604363,5
0,tcp,ssh,141,751,7,34,30,0.6041005986570283,0.3307672073769883,2
6,tcp,ftp,110,302,3,8,8,0.6432215892791664,0.4711381752272964,3
6,tcp,ftp,80,327,3,15,8,0.44032614038323886,0.5518346916084225,3
4,tcp,smtp,84,454,1,15,9,0.4496261539463617,0.5331342507762399,3
4,tcp,http,579,4814,0,4,4,1.0,0.0,0
5,tcp,smtp,85,312,3,15,11,0.6157521971496507,0.5874879011403402,3
3,tcp,ssh,92,272,2,13,12,0.5485587689741981,0.3778531995706819,5
0,tcp,http,0,0,9,47,40,0.49125782273923846,0.530962842190611,4
0,tcp,http,0,0,0,382,371,0.028753966892728647,0.8793278885586716,1
0,tcp,ssh,138,794,8,29,27,0.7976221424172951,0.2897489333025807,2
0,tcp,http,0,0,9,46,26,0.42874116392648964,0.43372380579890446,4
0,tcp,http,0,0,0,350,279,0.09909312645708751,0.8915666457252516,1
2,tcp,ssh,50,255,3,11,14,0.5506157035008514,0.4863479686899158,5
5,tcp,smtp,254,3478,0,1,2,1.0,0.0,0
0,tcp,http,0,0,0,325,278,0.04784586472545159,0.97854370311327,1
4,tcp,ssh,98,274,4,17,12,0.5195008616620873,0.45460626425891265,5
2,tcp,ssh,66,246,4,10,12,0.536338912484117,0.4649680190478535,5
4,udp,smtp,481,3425,0,5,1,1.0,0.0,0
3,tcp,smtp,456,4235,0,2,5,1.0,0.0,0
2,tcp,ssh,112,236,3,16,14,0.6152762962027909,0.43519733779730635,5
5,tcp,dns,262,3004,0,1,2,1.0,0.0,0
0,tcp,http,0,0,0,279,298,0.1058733640252422,0.9521956694128204,1
0,tcp,http,0,0,14,51,30,0.30896533547477234,0.6959067724843107,4
0,tcp,ssh,140,789,7,22,24,0.6706615142711714,0.4034361803536961,2
3,tcp,ssh,93,286,1,17,11,0.6221089394322263,0.5284127855601702,5
10,tcp,smtp,535,3806,0,5,4,1.0,0.0,0
0,tcp,ssh,124,961,9,31,27,0.6786315864273754,0.36846201704961923,2
0,tcp,http,0,0,0,328,168,0.08629663319642854,0.9415050222608473,1
0,tcp,http,0,0,0,335,309,0.08973109075706744,0.9761487859286596,1
4,tcp,ftp,107,439,2,15,12,0.4262933767220267,0.4608155078751427,3
9,udp,http,304,4120,0,1,2,1.0,0.0,0
5,tcp,ftp,90,499,1,8,8,0.40324837354283594,0.4375801301697019,3
3,tcp,smtp,159,335,1,13,10,0.47034302541656403,0.33759631370646703,3
0,tcp,http,0,0,0,151,374,0.10049291796038068,0.9245312801393801,1
0,tcp,http,0,0,0,210,335,0.08270352961964332,0.8908715762283388,1
0,tcp,http,0,0,15,45,41,0.3480707017301351,0.5109438405614037,4
2,tcp,ftp,91,270,3,15,6,0.5843563897979762,0.32952131174211186,3
0,tcp,ssh,121,810,5,39,29,0.6173812636940582,0.33481639337335695,2
0,tcp,http,0,0,0,350,376,0.14666886425585918,0.9134853391973441,1
0,tcp,http,0,0,0,322,156,0.0942349209688979,0.8523274237290949,1
0,tcp,http,0,0,0,358,206,0.12443646560053476,0.9067178266444383,1
6,tcp,smtp,130,499,2,9,9,0.6314989886566738,0.5821517747311977,3
6,tcp,ftp,89,490,2,13,11,0.528303363321079,0.3631551134715252,3
