duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate
11,udp,222,1490,0,0,19,4,0.4,0.16
3,tcp,335,1694,1,0,42,24,0.38,0.33
5,udp,330,1993,2,0,42,19,0.28,0.03
18,tcp,484,545,2,0,44,25,0.11,0.11
1,udp,415,668,1,1,14,11,0.38,0.38
11,udp,67,1924,1,0,11,6,0.41,0.23
20,udp,477,1698,2,1,6,5,0.12,0.27
9,tcp,139,1778,5,0,45,13,0.25,0.2
8,tcp,438,1479,3,0,18,27,0.47,0.35
5,udp,216,1046,3,1,16,12,0.44,0.4
2,udp,402,771,5,0,35,20,0.19,0.19
20,tcp,367,136,5,0,21,12,0.27,0.34
8,udp,263,1214,1,1,6,13,0.27,0.27
11,tcp,396,642,1,1,47,6,0.35,0.38
19,tcp,129,627,2,0,43,24,0.17,0.11
8,udp,465,773,5,0,20,19,0.13,0.29
2,udp,181,1598,1,0,29,4,0.39,0.34
9,udp,327,1447,4,0,20,26,0.09,0.3
14,tcp,117,1020,4,0,13,15,0.2,0.33
16,tcp,75,1708,5,0,15,13,0.12,0.2
3,udp,359,314,3,1,45,19,0.42,0.26
5,tcp,194,1118,5,0,32,15,0.49,0.46
6,udp,448,1656,2,1,3,9,0.25,0.41
9,udp,299,222,2,0,27,18,0.49,0.29
16,udp,60,1909,4,0,2,13,0.42,0.02
10,udp,264,881,4,0,36,19,0.39,0.21
6,udp,475,910,2,0,27,17,0.28,0.12
4,tcp,354,1812,0,1,6,15,0.22,0.03
13,tcp,400,1311,4,0,13,2,0.22,0.3
3,udp,489,1347,0,0,35,27,0.27,0.11
12,udp,436,287,3,0,9,12,0.42,0.2
18,tcp,63,1874,5,0,25,19,0.16,0.05
11,tcp,105,1085,3,0,42,25,0.36,0.38
10,udp,403,520,0,1,16,26,0.42,0.22
3,tcp,190,603,5,0,20,26,0.08,0.36
7,tcp,314,1080,2,0,41,9,0.41,0.17
3,tcp,426,107,1,1,12,20,0.06,0.23
14,udp,57,434,4,0,25,28,0.11,0.29
13,tcp,128,1598,5,0,33,15,0.13,0.38
12,tcp,462,135,4,0,36,24,0.35,0.33
10,tcp,436,1919,1,0,18,11,0.38,0.11
14,tcp,289,1089,2,0,28,27,0.48,0.09
15,tcp,304,728,1,1,37,9,0.04,0.16
6,udp,191,1118,0,0,43,6,0.48,0.35
11,udp,147,1822,0,1,36,20,0.48,0.01
19,tcp,426,841,2,1,34,22,0.43,0.29
5,udp,417,1420,3,1,3,22,0.17,0.32
18,udp,109,115,5,0,46,2,0.44,0.41
13,udp,63,160,3,0,34,29,0.3,0.48
14,udp,171,1451,5,0,3,6,0.01,0.38
1,udp,424,1639,4,0,11,27,0.46,0.27
12,udp,398,1527,2,1,47,22,0.15,0.27
4,tcp,81,1268,5,0,29,3,0.08,0.26
17,udp,158,1250,0,1,25,22,0.26,0.08
17,tcp,314,1786,2,0,19,29,0.22,0.04
4,tcp,158,1018,5,0,25,15,0.31,0.25
9,udp,359,688,1,1,41,27,0.39,0.07
13,udp,473,897,3,1,25,29,0.01,0.28
11,udp,217,1809,2,0,22,22,0.47,0.01
2,udp,165,670,4,0,7,8,0.42,0.15
9,tcp,95,115,5,0,39,4,0.06,0.45
8,udp,363,564,1,0,17,1,0.26,0.05
12,udp,310,1319,3,0,41,8,0.28,0.03
13,tcp,393,1753,3,0,20,2,0.18,0.38
5,udp,267,1690,3,1,12,23,0.0,0.2
19,tcp,396,1518,0,0,26,5,0.3,0.03
15,tcp,86,1137,4,0,5,11,0.03,0.35
19,tcp,125,1146,3,1,8,7,0.24,0.22
16,tcp,385,314,0,0,33,21,0.27,0.44
7,udp,344,1919,1,1,7,13,0.44,0.37
8,tcp,151,1307,2,1,39,24,0.14,0.27
20,udp,316,1652,1,1,45,21,0.39,0.33
10,tcp,467,1949,1,0,45,2,0.06,0.35
7,tcp,462,1177,1,1,16,29,0.0,0.18
2,udp,434,1898,1,0,6,4,0.3,0.2
11,tcp,114,1747,3,0,8,3,0.5,0.32
18,tcp,52,1335,0,1,28,15,0.15,0.01
16,tcp,399,806,3,0,36,26,0.29,0.44
4,udp,344,1816,2,1,45,19,0.22,0.48
11,udp,77,1637,5,0,1,19,0.46,0.24
7,udp,458,385,4,0,29,11,0.14,0.4
5,udp,172,734,2,0,40,9,0.2,0.19
20,udp,137,751,2,0,41,9,0.44,0.32
11,udp,89,486,3,0,45,11,0.11,0.49
12,udp,268,578,1,0,7,7,0.13,0.0
8,tcp,55,1156,0,0,29,11,0.42,0.33
14,tcp,355,1207,2,1,37,2,0.45,0.45
2,tcp,293,705,0,1,15,28,0.24,0.46
20,udp,155,244,1,1,6,10,0.37,0.26
17,udp,401,518,3,0,6,29,0.23,0.42
9,udp,303,1810,1,1,37,14,0.47,0.02
9,tcp,479,1653,2,1,35,16,0.02,0.18
5,tcp,326,636,0,1,3,15,0.03,0.43
7,tcp,299,1232,2,1,9,8,0.18,0.4
16,tcp,340,1235,5,0,19,4,0.36,0.03
9,udp,127,632,0,1,5,18,0.15,0.01
18,udp,339,1524,3,1,13,24,0.26,0.47
1,tcp,457,237,2,0,20,22,0.47,0.24
18,udp,471,1129,0,0,8,7,0.41,0.08
17,udp,464,373,0,0,8,28,0.35,0.09
1,udp,384,1471,5,0,8,21,0.1,0.11
13,udp,305,922,5,0,50,20,0.13,0.02
14,tcp,283,877,3,0,41,28,0.47,0.22
5,udp,265,601,0,0,33,25,0.22,0.05
16,udp,290,1076,5,0,32,6,0.01,0.04
14,udp,260,1071,4,0,23,17,0.2,0.33
1,tcp,490,1180,1,0,9,7,0.46,0.34
10,udp,469,1075,2,1,29,16,0.28,0.44
12,udp,347,1477,4,0,7,12,0.28,0.4
2,udp,194,1833,4,0,25,19,0.34,0.27
20,tcp,368,1003,2,1,44,19,0.44,0.42
11,tcp,242,1889,3,1,1,24,0.04,0.12
7,tcp,315,216,4,0,5,16,0.09,0.06
1,tcp,68,1078,3,1,11,24,0.23,0.06
2,udp,373,1183,4,0,5,26,0.22,0.09
15,tcp,73,1208,1,1,26,1,0.27,0.04
1,udp,213,1558,1,1,15,5,0.23,0.09
11,udp,142,1093,0,1,3,11,0.48,0.26
14,udp,247,1793,5,0,7,13,0.05,0.04
16,tcp,219,1907,5,0,6,11,0.15,0.08
8,tcp,474,1743,3,0,16,8,0.47,0.3
5,udp,213,1445,4,0,12,9,0.49,0.11
10,tcp,82,1758,4,0,12,19,0.28,0.41
20,tcp,271,1895,5,0,1,17,0.35,0.27
11,tcp,474,1932,4,0,44,19,0.34,0.13
10,tcp,499,559,3,1,39,1,0.47,0.37
16,tcp,95,1200,0,0,5,8,0.49,0.23
14,udp,445,682,0,0,15,17,0.21,0.36
10,tcp,209,1442,4,0,49,19,0.27,0.23
1,udp,177,765,3,0,14,16,0.29,0.38
5,udp,366,1010,4,0,13,14,0.01,0.31
13,udp,404,1104,3,1,28,12,0.03,0.34
7,udp,51,468,2,0,36,10,0.36,0.12
14,tcp,348,835,5,0,4,15,0.12,0.08
10,tcp,332,230,2,1,24,20,0.47,0.32
14,udp,93,1466,1,1,25,7,0.08,0.41
8,udp,74,472,4,0,14,6,0.01,0.19
5,udp,323,1734,3,0,2,24,0.45,0.31
3,tcp,69,1869,4,0,40,20,0.17,0.44
6,tcp,359,1763,0,1,29,18,0.12,0.35
6,tcp,349,1755,4,0,25,3,0.38,0.05
9,tcp,452,778,0,1,9,12,0.21,0.3
2,udp,378,1497,3,0,19,19,0.35,0.24
19,udp,474,616,4,0,14,13,0.49,0.06
9,tcp,427,1418,2,1,30,10,0.2,0.37
16,tcp,178,1196,4,0,10,9,0.04,0.4
13,tcp,407,169,0,0,31,19,0.39,0.12
6,tcp,207,1438,5,0,44,3,0.47,0.48
9,udp,75,1360,5,0,8,24,0.16,0.45
20,udp,453,1574,1,1,41,22,0.34,0.11
17,tcp,362,976,4,0,21,16,0.43,0.47
12,tcp,236,1289,4,0,46,23,0.4,0.15
12,udp,95,1224,2,1,22,4,0.08,0.18
9,tcp,465,1804,2,0,39,21,0.11,0.19
12,udp,277,267,0,1,33,26,0.06,0.01
10,tcp,174,320,5,0,47,29,0.49,0.48
20,udp,204,122,3,0,44,28,0.46,0.15
12,tcp,411,466,0,1,5,25,0.26,0.49
18,udp,487,1048,0,1,31,30,0.49,0.43
9,tcp,354,1980,3,1,49,23,0.44,0.42
5,udp,468,1430,4,0,45,12,0.43,0.18
9,udp,431,859,1,0,20,13,0.1,0.37
4,udp,70,1684,5,0,13,10,0.15,0.33
20,tcp,178,923,5,0,5,16,0.03,0.2
10,udp,390,673,1,1,37,9,0.39,0.25
20,udp,340,1847,2,0,44,3,0.27,0.39
15,udp,141,1395,0,0,18,3,0.36,0.25
18,tcp,380,426,4,0,29,23,0.04,0.45
6,tcp,370,116,2,0,1,23,0.35,0.41
2,tcp,447,923,2,0,13,9,0.12,0.01
15,udp,120,490,0,1,34,21,0.39,0.18
19,udp,176,1612,4,0,41,20,0.1,0.48
4,tcp,374,430,4,0,32,18,0.42,0.24
5,udp,151,352,0,1,19,4,0.19,0.03
13,udp,222,1339,0,1,13,20,0.16,0.32
16,tcp,100,1369,1,0,24,11,0.23,0.31
3,tcp,203,1313,0,0,21,8,0.24,0.03
15,tcp,344,539,4,0,20,3,0.49,0.06
20,udp,439,560,4,0,11,19,0.31,0.29
16,udp,93,1039,4,0,37,29,0.02,0.18
2,tcp,349,1814,4,0,40,7,0.45,0.2
19,tcp,359,188,5,0,21,20,0.48,0.5
5,udp,289,1883,0,0,1,11,0.07,0.19
7,udp,323,1840,3,0,6,19,0.01,0.14
14,udp,357,597,5,0,6,11,0.38,0.37
7,udp,223,1922,5,0,27,30,0.19,0.16
6,udp,431,573,2,0,23,28,0.03,0.43
19,tcp,147,1526,2,1,38,10,0.45,0.13
5,tcp,407,746,2,1,1,4,0.17,0.33
10,udp,135,1961,1,1,25,20,0.24,0.48
3,udp,272,591,2,0,41,24,0.16,0.36
14,udp,470,654,5,0,6,10,0.17,0.21
10,tcp,406,981,5,0,12,25,0.11,0.01
8,udp,459,1444,3,0,28,17,0.44,0.36
11,udp,256,1262,2,0,43,15,0.34,0.17
20,tcp,60,1956,4,0,46,24,0.11,0.25
6,udp,371,1313,1,0,46,19,0.07,0.22
14,udp,335,1215,5,0,40,6,0.03,0.14
20,tcp,322,170,3,1,9,24,0.33,0.36
13,udp,463,726,4,0,32,21,0.22,0.45
19,udp,122,1582,1,1,5,8,0.26,0.14
17,tcp,479,1974,0,1,4,20,0.11,0.3
16,tcp,492,386,5,0,44,11,0.07,0.41
5,tcp,74,504,1,1,22,2,0.16,0.12
12,udp,381,434,2,0,29,6,0.44,0.22
1,udp,236,1614,5,0,38,24,0.06,0.21
15,tcp,227,874,5,0,33,16,0.03,0.05
5,udp,424,987,5,0,33,16,0.44,0.05
9,tcp,262,192,0,1,18,17,0.14,0.42
1,tcp,149,1781,2,0,40,18,0.37,0.14
14,tcp,191,242,2,0,18,22,0.49,0.38
15,udp,185,340,2,1,20,3,0.14,0.14
13,udp,373,487,1,0,46,21,0.09,0.13
18,udp,212,1371,0,1,38,27,0.19,0.33
20,udp,354,648,0,0,14,9,0.2,0.38
10,tcp,231,1210,1,1,47,13,0.14,0.38
10,udp,250,328,2,1,30,9,0.05,0.49
20,tcp,260,1616,2,1,49,8,0.33,0.39
20,tcp,173,1229,2,1,17,24,0.28,0.4
14,tcp,454,614,2,1,35,5,0.04,0.47
8,tcp,389,127,3,1,17,22,0.32,0.04
9,tcp,312,1513,2,0,15,24,0.12,0.02
12,tcp,116,270,4,0,4,13,0.22,0.18
9,tcp,59,1573,3,0,13,20,0.21,0.36
19,tcp,345,950,4,0,33,6,0.22,0.48
3,udp,124,1602,4,0,12,10,0.43,0.2
15,udp,346,1188,5,0,49,11,0.32,0.37
6,udp,286,1957,0,0,45,27,0.49,0.17
4,tcp,172,491,4,0,33,27,0.38,0.46
2,udp,389,1744,1,1,20,11,0.15,0.32
15,udp,336,1718,3,1,28,10,0.45,0.12
14,udp,277,315,0,0,15,19,0.25,0.15
1,udp,146,1459,4,0,22,20,0.29,0.38
9,udp,169,644,4,0,49,26,0.34,0.18
2,udp,256,294,5,0,30,7,0.41,0.13
11,tcp,152,1905,1,0,12,15,0.05,0.23
19,tcp,465,373,4,0,4,1,0.21,0.07
4,udp,491,1908,2,1,34,30,0.42,0.27
19,tcp,354,1884,5,0,17,24,0.02,0.41
10,tcp,472,367,2,0,40,1,0.32,0.28
13,udp,151,1319,4,0,21,15,0.22,0.03
8,udp,108,960,2,1,1,2,0.16,0.18
19,udp,412,247,4,0,18,30,0.08,0.46
19,tcp,185,440,3,0,49,24,0.37,0.31
7,udp,166,1815,5,0,19,12,0.36,0.05
13,tcp,373,1167,2,1,4,19,0.39,0.5
4,tcp,249,425,3,1,3,5,0.36,0.31
5,tcp,325,1895,5,0,49,25,0.3,0.16
12,tcp,332,1729,1,0,14,13,0.04,0.06
2,udp,72,260,3,0,18,11,0.47,0.19
15,tcp,460,1854,2,1,34,6,0.14,0.41
7,udp,162,763,2,0,50,12,0.44,0.2
5,udp,55,1827,0,1,32,15,0.12,0.47
16,udp,222,237,1,0,32,18,0.33,0.19
5,tcp,448,1838,3,0,24,7,0.27,0.39
20,udp,219,1179,5,0,2,26,0.44,0.21
15,tcp,369,1154,2,0,23,27,0.36,0.02
16,tcp,404,1720,2,0,23,4,0.38,0.48
10,tcp,59,987,2,1,45,2,0.14,0.47
17,udp,235,1792,3,1,48,29,0.49,0.4
14,tcp,173,695,1,0,31,9,0.02,0.2
6,udp,317,1623,1,1,9,2,0.44,0.29
2,udp,184,518,1,1,49,28,0.34,0.32
17,udp,89,183,0,0,15,16,0.31,0.07
18,udp,337,1987,0,0,21,30,0.27,0.34
3,tcp,67,962,2,0,21,6,0.19,0.27
17,udp,151,825,1,0,3,29,0.19,0.1
12,tcp,196,774,0,1,21,20,0.02,0.21
11,tcp,332,1888,1,1,2,24,0.4,0.37
15,udp,422,1960,1,1,23,17,0.21,0.39
15,tcp,440,307,5,0,5,5,0.06,0.49
19,udp,80,1380,3,0,4,3,0.19,0.37
5,udp,156,1657,1,1,37,13,0.13,0.06
1,tcp,56,1711,3,0,37,13,0.27,0.11
17,udp,288,1316,5,0,38,22,0.46,0.23
16,tcp,219,1660,3,1,17,8,0.1,0.08
4,udp,87,1936,5,0,26,14,0.48,0.35
10,udp,467,1682,4,0,35,20,0.49,0.34
17,tcp,177,451,2,0,48,16,0.29,0.03
16,tcp,197,1378,3,0,5,4,0.16,0.03
19,udp,338,501,5,0,48,25,0.45,0.37
11,udp,155,1865,0,1,26,26,0.18,0.22
7,tcp,88,1684,2,1,31,23,0.12,0.32
4,udp,465,1928,5,0,7,8,0.31,0.27
14,tcp,159,1934,4,0,6,12,0.44,0.08
3,tcp,418,459,2,0,31,2,0.39,0.39
10,udp,175,290,3,1,15,27,0.26,0.02
14,tcp,406,1388,0,0,12,2,0.23,0.07
19,tcp,188,370,2,1,1,15,0.01,0.2
16,tcp,101,1805,4,0,32,19,0.35,0.06
11,tcp,271,250,1,0,26,20,0.33,0.45
13,tcp,312,1225,4,0,45,7,0.23,0.48
15,udp,394,1415,2,0,50,9,0.08,0.07
20,udp,334,629,2,1,8,22,0.32,0.38
16,udp,269,794,2,0,42,18,0.2,0.39
8,tcp,82,702,5,0,45,21,0.2,0.27
13,tcp,143,1532,2,0,6,10,0.1,0.44
7,tcp,258,1533,1,0,8,12,0.38,0.33
3,tcp,314,1582,5,0,31,11,0.33,0.43
15,tcp,182,383,3,0,28,19,0.3,0.48
13,tcp,369,230,1,0,49,3,0.42,0.4
13,tcp,463,997,4,0,2,30,0.0,0.37
19,tcp,407,1904,0,1,33,11,0.47,0.03
20,tcp,349,1970,4,0,50,21,0.47,0.03
19,udp,443,1102,4,0,43,26,0.28,0.34
17,tcp,74,298,5,0,33,17,0.49,0.01
4,tcp,303,1715,4,0,21,12,0.47,0.24
2,tcp,179,1472,2,0,3,21,0.5,0.08
7,tcp,428,1908,3,0,18,24,0.15,0.1
18,tcp,161,886,2,0,48,19,0.06,0.28
11,tcp,491,1614,1,0,17,29,0.17,0.04
11,tcp,363,1482,3,0,25,15,0.13,0.15
11,tcp,321,934,4,0,28,15,0.46,0.14
5,udp,318,630,1,0,41,21,0.01,0.32
8,tcp,395,1734,5,0,21,12,0.34,0.02
2,udp,89,1094,0,0,37,19,0.39,0.23
14,tcp,87,895,4,0,36,3,0.2,0.24
2,udp,370,1352,1,0,48,11,0.34,0.49
10,udp,104,1671,4,0,1,15,0.07,0.17
1,tcp,257,1017,1,1,36,30,0.42,0.39
17,udp,301,1407,1,0,47,9,0.46,0.38
11,tcp,142,1986,4,0,33,10,0.02,0.21
19,udp,231,280,2,0,47,25,0.47,0.17
13,tcp,220,516,5,0,42,16,0.19,0.27
4,udp,448,573,5,0,7,6,0.14,0.21
3,tcp,331,386,5,0,3,10,0.3,0.29
7,tcp,99,1507,5,0,16,29,0.23,0.18
15,udp,323,807,1,1,21,3,0.47,0.43
15,tcp,167,1660,4,0,39,12,0.3,0.2
6,udp,284,1838,0,1,15,24,0.4,0.33
8,tcp,452,434,4,0,8,16,0.12,0.48
19,udp,455,949,1,1,45,22,0.13,0.11
16,udp,429,1437,2,0,23,14,0.41,0.44
1,udp,267,1417,2,0,3,27,0.44,0.19
15,tcp,357,1313,0,1,37,23,0.27,0.15
19,tcp,342,1553,2,0,21,14,0.28,0.04
6,tcp,186,124,0,0,32,19,0.47,0.11
4,tcp,431,1505,3,1,37,26,0.03,0.26
7,tcp,305,520,1,0,20,15,0.37,0.27
2,udp,78,974,1,1,19,26,0.4,0.05
