duration,protocol_type,src_bytes,dst_bytes,failed_logins,logged_in,count,srv_count,serror_rate,srv_serror_rate,attack_type
0,0,132,671,10,0,22,13,0.1,0.1,2
6,0,200,3730,0,1,5,1,0.0,0.0,0
10,0,335,1671,0,1,2,1,0.0,0.0,0
10,0,220,2575,0,1,2,1,0.0,0.0,0
3,0,427,2190,0,1,2,1,0.0,0.0,0
0,0,0,0,0,0,159,242,0.9095545733058407,0.7883565955712393,1
1,0,50,57,8,0,15,8,0.1,0.1,4
5,0,49,280,0,1,5,8,0.0,0.0,5
1,0,25,96,3,0,14,7,0.1,0.1,4
4,0,93,395,0,0,27,15,0.4268669006007366,0.4542012530273855,3
3,0,286,2241,0,1,1,2,0.0,0.0,0
7,0,105,312,0,0,18,7,0.3151757554116382,0.23949756057464924,3
0,0,0,0,0,0,279,186,0.8167839274228073,0.7848820487312491,1
4,0,93,386,0,0,26,9,0.3316116597971861,0.4076861215163265,3
4,0,108,189,0,1,6,9,0.0,0.0,5
3,0,68,260,0,1,7,10,0.0,0.0,5
0,0,0,0,0,0,132,208,0.8284981415620487,0.8239177547787465,1
4,0,107,225,0,1,12,6,0.0,0.0,5
3,0,113,120,0,1,5,8,0.0,0.0,5
2,0,86,180,0,1,4,7,0.0,0.0,5
5,0,88,292,0,1,5,10,0.0,0.0,5
5,0,92,125,0,1,4,9,0.0,0.0,5
0,0,106,779,10,0,15,20,0.1,0.1,2
0,0,152,412,6,0,17,13,0.1,0.1,2
2,0,57,140,0,1,6,9,0.0,0.0,5
5,0,109,159,0,1,6,9,0.0,0.0,5
0,0,0,0,0,0,220,233,0.8741863602745217,0.9176601734209853,1
0,0,0,0,0,0,140,269,0.826432802448521,0.9437608261406578,1
0,0,110,617,7,0,15,25,0.1,0.1,2
0,0,0,0,0,0,203,188,0.9337064869730418,0.8347044137800064,1
0,0,0,0,0,0,266,159,0.9563419625355734,0.8620346226246964,1
0,0,0,0,0,0,185,135,0.8912555238788001,0.7459781454077099,1
0,0,128,729,8,0,21,24,0.1,0.1,2
6,0,200,3128,0,1,4,3,0.0,0.0,0
0,0,0,0,0,0,186,113,0.8042489623968845,0.9349418333298649,1
0,0,108,729,10,0,20,25,0.1,0.1,2
5,0,70,229,0,0,34,5,0.47725992533195305,0.44117162445519914,3
3,0,58,365,0,0,12,7,0.36202997964999334,0.22432486319906222,3
2,0,92,212,0,1,9,6,0.0,0.0,5
6,0,58,261,0,0,20,10,0.3991348924474969,0.4944390632727713,3
1,0,45,85,5,0,14,9,0.1,0.1,4
0,0,169,739,8,0,29,28,0.1,0.1,2
1,0,24,81,8,0,10,9,0.1,0.1,4
6,0,52,241,0,0,36,7,0.29450594312904593,0.25214026060946126,3
10,0,351,2805,0,1,3,4,0.0,0.0,0
1,0,35,120,7,0,15,8,0.1,0.1,4
0,0,0,0,0,0,190,242,0.9662686839643831,0.754023488865789,1
5,0,480,2414,0,1,3,4,0.0,0.0,0
8,0,456,3451,0,1,5,5,0.0,0.0,0
1,0,59,60,3,0,10,7,0.1,0.1,4
3,0,64,338,0,0,18,11,0.37997394434593945,0.43622052991048,3
8,0,221,3121,0,1,2,4,0.0,0.0,0
0,0,154,766,7,0,25,24,0.1,0.1,2
5,0,442,3868,0,1,2,5,0.0,0.0,0
8,0,283,3342,0,1,2,3,0.0,0.0,0
0,0,158,494,9,0,24,26,0.1,0.1,2
8,0,416,2191,0,1,3,1,0.0,0.0,0
2,0,67,172,0,1,7,8,0.0,0.0,5
0,0,137,631,7,0,31,18,0.1,0.1,2
0,0,0,0,0,0,220,179,0.817174313007589,0.8262255425765906,1
3,0,201,1940,0,1,1,1,0.0,0.0,0
6,0,251,2438,0,1,1,1,0.0,0.0,0
7,0,74,310,0,0,39,10,0.30482843834940193,0.384600273901036,3
0,0,0,0,0,0,184,164,0.8962497492080992,0.900195123137654,1
0,0,164,406,8,0,17,10,0.1,0.1,2
4,0,449,3558,0,1,3,4,0.0,0.0,0
5,0,60,361,0,0,25,6,0.47874432751082036,0.47985986724876056,3
0,0,0,0,0,0,140,205,0.8447498165984095,0.7950061780690564,1
0,0,0,0,0,0,212,151,0.8173623510957687,0.709673412166773,1
4,0,275,3882,0,1,2,1,0.0,0.0,0
0,0,119,694,8,0,40,21,0.1,0.1,2
1,0,44,43,4,0,12,7,0.1,0.1,4
4,0,404,2114,0,1,4,1,0.0,0.0,0
4,0,113,149,0,1,11,4,0.0,0.0,5
7,0,52,275,0,0,40,8,0.3429942507497747,0.31122816485812377,3
4,0,59,318,0,0,26,15,0.40485902692982323,0.4282219261279145,3
0,0,0,0,0,0,172,140,0.9385903911077593,0.8461463136611094,1
5,0,49,199,0,1,4,8,0.0,0.0,5
1,0,42,72,6,0,12,5,0.1,0.1,4
1,0,49,52,4,0,10,6,0.1,0.1,4
6,0,51,230,0,0,19,7,0.28371036080812256,0.27824415345216985,3
1,0,23,61,3,0,15,6,0.1,0.1,4
0,0,0,0,0,0,199,187,0.957236094618887,0.7941708508207718,1
0,0,116,789,5,0,22,17,0.1,0.1,2
2,0,60,216,0,1,9,4,0.0,0.0,5
3,0,96,260,0,0,38,7,0.44160253365238344,0.23568925609216032,3
3,0,99,363,0,0,19,15,0.22278886489709876,0.23735281879582762,3
9,0,459,2734,0,1,2,3,0.0,0.0,0
1,0,55,62,7,0,11,5,0.1,0.1,4
6,0,387,1755,0,1,1,4,0.0,0.0,0
1,0,31,70,7,0,6,9,0.1,0.1,4
1,0,24,47,6,0,15,5,0.1,0.1,4
0,0,0,0,0,0,271,184,0.860536511784562,0.7972818141673688,1
6,0,104,255,0,0,34,5,0.3516698062080963,0.4706804461821009,3
5,0,83,307,0,0,18,14,0.445055118114527,0.47013893367583265,3
4,0,101,282,0,1,7,9,0.0,0.0,5
1,0,29,100,3,0,11,6,0.1,0.1,4
0,0,0,0,0,0,286,181,0.9469781759236746,0.8013901734226381,1
0,0,0,0,0,0,133,238,0.8421158523495023,0.7809504791785542,1
0,0,0,0,0,0,288,180,0.8100220998782374,0.8941600737791506,1
2,0,42,168,0,1,7,8,0.0,0.0,5
0,0,129,692,8,0,28,28,0.1,0.1,2
6,0,80,219,0,0,29,11,0.4287512614292843,0.23676444565937982,3
0,0,0,0,0,0,227,223,0.9629776472401201,0.8237360008711376,1
6,0,73,361,0,0,31,6,0.21491658886627762,0.3292389032926446,3
0,0,179,732,5,0,16,13,0.1,0.1,2
10,0,225,2765,0,1,2,3,0.0,0.0,0
0,0,0,0,0,0,162,241,0.8344434187045187,0.888983293886781,1
3,0,102,358,0,0,28,10,0.4273921406316926,0.4041474423050978,3
0,0,181,580,10,0,19,25,0.1,0.1,2
0,0,0,0,0,0,269,173,0.8039787566704407,0.921383833233632,1
0,0,153,527,7,0,21,24,0.1,0.1,2
0,0,194,756,7,0,40,11,0.1,0.1,2
0,0,128,689,7,0,20,11,0.1,0.1,2
1,0,43,68,4,0,15,10,0.1,0.1,4
6,0,107,383,0,0,30,15,0.43342374632904757,0.26816717574532145,3
5,0,63,349,0,0,10,11,0.407234543428683,0.4217243503559025,3
0,0,0,0,0,0,182,230,0.8442986315922945,0.8120112278357956,1
1,0,43,49,4,0,5,10,0.1,0.1,4
3,0,62,173,0,1,8,5,0.0,0.0,5
0,0,0,0,0,0,180,154,0.8556223270236917,0.758034353868563,1
6,0,68,389,0,0,26,7,0.35795900618153154,0.21883013697960402,3
0,0,0,0,0,0,164,274,0.9398203970094813,0.9293430150173042,1
0,0,0,0,0,0,244,235,0.8047331753485286,0.8758620786815277,1
0,0,154,770,6,0,19,16,0.1,0.1,2
3,0,108,166,0,1,5,7,0.0,0.0,5
4,0,82,204,0,0,10,8,0.25751190359943116,0.421686885356625,3
0,0,116,536,9,0,20,21,0.1,0.1,2
7,0,65,351,0,0,30,8,0.32763499237489985,0.46291801247174785,3
1,0,41,79,6,0,10,9,0.1,0.1,4
0,0,0,0,0,0,233,141,0.8260396521199146,0.7452189162123103,1
1,0,51,44,8,0,11,6,0.1,0.1,4
1,0,23,111,8,0,15,7,0.1,0.1,4
0,0,127,415,5,0,32,19,0.1,0.1,2
3,0,74,239,0,1,7,4,0.0,0.0,5
1,0,49,93,5,0,12,8,0.1,0.1,4
0,0,0,0,0,0,229,193,0.8541464944469919,0.790890644009898,1
0,0,161,485,5,0,40,20,0.1,0.1,2
4,0,63,298,0,0,11,9,0.24459195722317056,0.3855210534011537,3
2,0,45,165,0,1,9,8,0.0,0.0,5
1,0,60,53,6,0,8,6,0.1,0.1,4
0,0,0,0,0,0,203,150,0.9423348700408701,0.8674782772543862,1
0,0,0,0,0,0,276,103,0.8768463950272934,0.8522010453304302,1
6,0,101,278,0,0,33,8,0.4599671671184263,0.3854103557986584,3
0,0,153,527,8,0,29,17,0.1,0.1,2
1,0,23,116,7,0,15,5,0.1,0.1,4
1,0,26,77,8,0,12,5,0.1,0.1,4
0,0,0,0,0,0,245,101,0.8991190426826345,0.8351394115495714,1
10,0,265,2375,0,1,3,2,0.0,0.0,0
6,0,120,284,0,0,25,11,0.4860955547529554,0.2921236326570463,3
1,0,36,60,4,0,9,7,0.1,0.1,4
6,0,64,229,0,0,13,10,0.30649072638622815,0.2387019368095546,3
3,0,98,276,0,1,5,5,0.0,0.0,5
1,0,22,72,6,0,8,5,0.1,0.1,4
10,0,218,2834,0,1,2,1,0.0,0.0,0
7,0,389,1701,0,1,2,5,0.0,0.0,0
5,0,45,215,0,1,6,9,0.0,0.0,5
6,0,95,212,0,0,37,13,0.24636254554616446,0.37830545356271034,3
5,0,92,271,0,1,4,7,0.0,0.0,5
1,0,43,81,3,0,13,5,0.1,0.1,4
1,0,27,107,6,0,13,7,0.1,0.1,4
3,0,94,125,0,1,11,6,0.0,0.0,5
0,0,106,490,10,0,30,10,0.1,0.1,2
3,0,109,239,0,1,6,7,0.0,0.0,5
8,0,304,3978,0,1,2,1,0.0,0.0,0
6,0,317,3858,0,1,2,5,0.0,0.0,0
3,0,91,261,0,1,7,5,0.0,0.0,5
1,0,36,68,8,0,7,5,0.1,0.1,4
3,0,340,2480,0,1,4,3,0.0,0.0,0
4,0,115,399,0,0,24,8,0.48219481492820737,0.2900473652329134,3
2,0,94,146,0,1,6,7,0.0,0.0,5
1,0,51,115,8,0,12,10,0.1,0.1,4
3,0,258,3385,0,1,3,3,0.0,0.0,0
5,0,88,336,0,0,14,13,0.3587957355481737,0.2852829295020772,3
2,0,108,222,0,1,12,8,0.0,0.0,5
4,0,51,263,0,0,20,12,0.23452569668079082,0.2045506886026453,3
4,0,77,181,0,1,6,4,0.0,0.0,5
6,0,111,373,0,0,34,6,0.40449658653759646,0.33598700593028846,3
5,0,86,360,0,0,31,7,0.2969946765442143,0.4794868438628814,3
5,0,104,240,0,1,10,6,0.0,0.0,5
5,0,106,136,0,1,5,7,0.0,0.0,5
0,0,0,0,0,0,260,258,0.9583014095756035,0.8097105506883978,1
0,0,181,490,5,0,22,20,0.1,0.1,2
0,0,0,0,0,0,287,238,0.9579090532886535,0.7071995999158353,1
3,0,92,211,0,0,24,13,0.33507179480409777,0.35003987117702295,3
10,0,366,3317,0,1,2,2,0.0,0.0,0
3,0,73,192,0,1,4,5,0.0,0.0,5
0,0,0,0,0,0,249,113,0.9012890952996082,0.9037047398151107,1
0,0,106,618,9,0,17,25,0.1,0.1,2
4,0,60,277,0,1,12,4,0.0,0.0,5
0,0,174,446,5,0,39,21,0.1,0.1,2
1,0,52,62,3,0,10,5,0.1,0.1,4
0,0,189,402,8,0,16,21,0.1,0.1,2
2,0,115,125,0,1,10,5,0.0,0.0,5
0,0,0,0,0,0,258,185,0.8497923123375588,0.8355140132713764,1
1,0,49,114,4,0,14,5,0.1,0.1,4
3,0,405,3591,0,1,5,4,0.0,0.0,0
0,0,0,0,0,0,209,246,0.8549846311952585,0.7620017708608039,1
0,0,135,800,6,0,17,18,0.1,0.1,2
0,0,0,0,0,0,173,167,0.912728305593253,0.7021379927856366,1
1,0,28,70,6,0,11,6,0.1,0.1,4
5,0,94,246,0,1,6,4,0.0,0.0,5
6,0,95,283,0,0,20,5,0.347836379031768,0.23089868622440124,3
1,0,48,40,8,0,11,10,0.1,0.1,4
8,0,464,2719,0,1,5,3,0.0,0.0,0
0,0,199,569,5,0,23,18,0.1,0.1,2
7,0,333,1919,0,1,5,2,0.0,0.0,0
4,0,56,390,0,0,10,12,0.2549419671733787,0.394306381094154,3
9,0,414,1837,0,1,4,5,0.0,0.0,0
0,0,115,712,6,0,38,23,0.1,0.1,2
1,0,53,52,6,0,9,8,0.1,0.1,4
1,0,45,40,4,0,8,10,0.1,0.1,4
6,0,328,1767,0,1,4,4,0.0,0.0,0
3,0,104,226,0,0,24,15,0.22386865002290185,0.39328183240214565,3
1,0,44,118,6,0,12,7,0.1,0.1,4
2,0,77,133,0,1,5,5,0.0,0.0,5
7,0,492,3787,0,1,5,5,0.0,0.0,0
1,0,53,106,4,0,11,5,0.1,0.1,4
4,0,334,2431,0,1,3,1,0.0,0.0,0
5,0,99,233,0,1,5,8,0.0,0.0,5
1,0,38,111,8,0,7,10,0.1,0.1,4
0,0,199,467,6,0,21,11,0.1,0.1,2
1,0,24,72,4,0,7,9,0.1,0.1,4
0,0,150,438,5,0,21,21,0.1,0.1,2
0,0,0,0,0,0,141,109,0.972341403285024,0.7256247442106677,1
4,0,113,134,0,1,10,8,0.0,0.0,5
0,0,187,426,6,0,17,24,0.1,0.1,2
3,0,87,225,0,0,40,10,0.2211230374890629,0.21899219274526358,3
1,0,37,49,5,0,13,8,0.1,0.1,4
1,0,23,97,5,0,11,6,0.1,0.1,4
1,0,48,110,7,0,5,8,0.1,0.1,4
3,0,329,3487,0,1,4,3,0.0,0.0,0
6,0,99,350,0,0,38,8,0.33995493186427306,0.43667682443667244,3
4,0,317,3161,0,1,3,1,0.0,0.0,0
7,0,340,3055,0,1,5,5,0.0,0.0,0
4,0,369,2855,0,1,2,5,0.0,0.0,0
0,0,0,0,0,0,139,201,0.9166904425796201,0.900972419204991,1
6,0,337,2822,0,1,2,5,0.0,0.0,0
3,0,104,376,0,0,15,9,0.22880569640761633,0.40141822855336123,3
3,0,301,2957,0,1,4,3,0.0,0.0,0
10,0,435,2651,0,1,4,1,0.0,0.0,0
10,0,410,3193,0,1,4,2,0.0,0.0,0
5,0,114,154,0,1,5,10,0.0,0.0,5
3,0,93,133,0,1,11,9,0.0,0.0,5
5,0,110,382,0,0,13,13,0.34883386818347295,0.4292952882656887,3
0,0,0,0,0,0,165,223,0.812481817388985,0.7248031426380748,1
0,0,190,745,6,0,22,30,0.1,0.1,2
0,0,118,559,9,0,39,28,0.1,0.1,2
5,0,95,357,0,0,32,6,0.3968908049162776,0.43637539745511367,3
5,0,57,256,0,1,9,4,0.0,0.0,5
4,0,53,349,0,0,40,5,0.37971793916692387,0.3449832475671095,3
7,0,83,327,0,0,33,9,0.3420811456925438,0.4866696758424285,3
0,0,196,449,5,0,33,12,0.1,0.1,2
0,0,0,0,0,0,132,188,0.8698169845189829,0.7186917078856692,1
3,0,309,3976,0,1,1,4,0.0,0.0,0
1,0,34,73,7,0,8,6,0.1,0.1,4
0,0,134,514,6,0,15,27,0.1,0.1,2
0,0,0,0,0,0,209,233,0.8564103062662475,0.7495790598023476,1
0,0,165,648,6,0,26,30,0.1,0.1,2
3,0,92,232,0,0,12,6,0.22776568613746576,0.2646369867887844,3
0,0,144,626,10,0,27,11,0.1,0.1,2
0,0,0,0,0,0,224,218,0.9027153293001245,0.8015086330253027,1
0,0,0,0,0,0,226,159,0.8392533312335254,0.8510827110511128,1
0,0,192,672,8,0,39,21,0.1,0.1,2
1,0,20,81,5,0,5,10,0.1,0.1,4
7,0,50,202,0,0,16,14,0.23726076181519784,0.379387846161104,3
0,0,0,0,0,0,156,176,0.8089000577806855,0.7427359823952177,1
7,0,60,353,0,0,24,5,0.35780988395059865,0.3214557704909319,3
1,0,59,85,6,0,6,8,0.1,0.1,4
6,0,103,288,0,0,14,7,0.2750865164632328,0.4660604635337209,3
0,0,186,701,5,0,15,21,0.1,0.1,2
0,0,199,590,9,0,36,25,0.1,0.1,2
5,0,57,178,0,1,11,6,0.0,0.0,5
0,0,0,0,0,0,272,205,0.9358895346361953,0.8424978937365094,1
4,0,82,282,0,0,19,12,0.31361666129906457,0.27605537550681825,3
5,0,73,161,0,1,7,9,0.0,0.0,5
4,0,55,148,0,1,4,10,0.0,0.0,5
6,0,78,319,0,0,21,10,0.4392719761749327,0.22526959128183868,3
1,0,54,106,6,0,9,7,0.1,0.1,4
5,0,253,2482,0,1,1,1,0.0,0.0,0
5,0,359,3027,0,1,5,4,0.0,0.0,0
0,0,0,0,0,0,232,184,0.8018260274323368,0.7005648177957399,1
0,0,169,629,9,0,20,21,0.1,0.1,2
3,0,82,365,0,0,17,11,0.3780079321405491,0.346948151754105,3
0,0,195,492,5,0,22,14,0.1,0.1,2
5,0,105,132,0,1,12,4,0.0,0.0,5
4,0,117,248,0,1,5,5,0.0,0.0,5
0,0,0,0,0,0,202,270,0.9018095305068669,0.8664029012660395,1
1,0,32,40,5,0,10,7,0.1,0.1,4
0,0,160,462,9,0,20,25,0.1,0.1,2
3,0,90,208,0,1,11,5,0.0,0.0,5
5,0,54,325,0,0,27,10,0.41303961587300897,0.22866850782577547,3
0,0,0,0,0,0,173,130,0.8057391505987921,0.9338231239415192,1
1,0,48,46,3,0,9,9,0.1,0.1,4
1,0,26,42,5,0,15,6,0.1,0.1,4
7,0,76,206,0,0,20,14,0.46157348982924673,0.2958613495117604,3
6,0,290,2672,0,1,4,1,0.0,0.0,0
0,0,0,0,0,0,228,180,0.8424199511835196,0.8389018769788181,1
0,0,150,495,6,0,31,26,0.1,0.1,2
0,0,170,478,8,0,16,26,0.1,0.1,2
0,0,0,0,0,0,198,253,0.8065237927110679,0.8481810179717311,1
0,0,0,0,0,0,187,280,0.8783142723551416,0.7043616689062355,1
1,0,57,67,4,0,8,7,0.1,0.1,4
3,0,120,253,0,1,6,8,0.0,0.0,5
2,0,40,297,0,1,9,8,0.0,0.0,5
0,0,0,0,0,0,230,187,0.8036492590509466,0.9036733707990116,1
0,0,0,0,0,0,144,193,0.917400644493326,0.7966463787861734,1
0,0,0,0,0,0,188,100,0.9563815739956001,0.9431711080408908,1
3,0,88,239,0,1,11,6,0.0,0.0,5
5,0,271,3426,0,1,3,5,0.0,0.0,0
5,0,71,323,0,0,35,8,0.2899304833752439,0.35839530076919907,3
0,0,115,689,8,0,15,26,0.1,0.1,2
2,0,61,261,0,1,7,8,0.0,0.0,5
0,0,128,556,8,0,20,21,0.1,0.1,2
1,0,48,67,6,0,7,9,0.1,0.1,4
1,0,50,97,6,0,6,9,0.1,0.1,4
0,0,0,0,0,0,151,202,0.9159033139891825,0.9294297322250114,1
5,0,66,211,0,1,7,4,0.0,0.0,5
9,0,279,2108,0,1,3,4,0.0,0.0,0
3,0,261,3565,0,1,1,5,0.0,0.0,0
0,0,190,503,8,0,33,27,0.1,0.1,2
0,0,0,0,0,0,272,191,0.8843023520783817,0.8551759274286221,1
0,0,197,776,9,0,38,25,0.1,0.1,2
6,0,363,1874,0,1,4,5,0.0,0.0,0
1,0,60,53,3,0,14,7,0.1,0.1,4
0,0,0,0,0,0,157,197,0.9635401619703079,0.8166930922636263,1
3,0,98,260,0,0,15,12,0.24906599069612748,0.2477701643844967,3
10,0,291,2412,0,1,5,1,0.0,0.0,0
0,0,155,645,10,0,32,11,0.1,0.1,2
6,0,83,304,0,0,16,10,0.2370219283607993,0.3156196288974773,3
7,0,115,374,0,0,10,8,0.20415377390310427,0.3627447049952569,3
1,0,51,80,8,0,9,10,0.1,0.1,4
3,0,111,397,0,0,25,13,0.3656369534315026,0.4121995375862457,3
1,0,55,108,7,0,9,6,0.1,0.1,4
5,0,44,206,0,1,9,6,0.0,0.0,5
0,0,125,416,9,0,36,28,0.1,0.1,2
4,0,108,129,0,1,12,6,0.0,0.0,5
2,0,99,238,0,1,11,5,0.0,0.0,5
0,0,200,504,9,0,37,19,0.1,0.1,2
1,0,56,95,5,0,13,7,0.1,0.1,4
0,0,0,0,0,0,268,207,0.9427992461259411,0.8163742060084985,1
